pair,source,recent,last_reported,publishers,inventory_at,depth_usd,depth_complete,spread_bps,instrument,assessment,note,evidence_url
BROTHER/USDPLUS,DEFILLAMA,True,2026-09-18T09:36:59+00:00,"[""PRAGMA""]",2026-09-18T09:54:22.380765+00:00,,,,CoinGecko-keyed price via DeFiLlama,Unverified depth,"Aggregator price, not an executable venue. Underlying constituent weights and independent depth not exposed. Upstream observation was 70 minutes old when independently fetched at 09:59:44 UTC.",https://coins.llama.fi/prices/current/coingecko:starknet-brother
BROTHER/USDPLUS,EKUBO,False,2026-09-08T08:55:03+00:00,"[""PRAGMA""]",2026-09-18T09:54:22.380765+00:00,,,,"One-hour oracle-pool TWAP, routed through EKUBO",Unverified depth,"Base and quote oracle-pool legs share dependencies. The SDK guard is a reserve threshold, not a 1% executable-depth test. Routed AVNU liquidity is not necessarily this oracle pool.",https://github.com/astraly-labs/pragma-sdk/blob/1fe7bad29874cbe321f65b9b2e815f52333cd34c/pragma-sdk/pragma_sdk/common/fetchers/fetchers/ekubo.py
BROTHER/USDPLUS,GECKOTERMINAL,True,2026-09-18T09:36:59+00:00,"[""PRAGMA""]",2026-09-18T09:54:22.380765+00:00,,,,Top-ranked token pool price,Unverified depth,"Top-pool selection can change. The routed DEX quote below is market context, not a measurement of the exact pool selected by the publisher.",https://apiguide.geckoterminal.com/faq
BTC/EUR,BINANCE,True,2026-09-18T10:00:53+00:00,"[""PRAGMA""]",2026-09-18T10:05:27.439896+00:00,550663.3031328318,True,0.001469746480454879,BTC/EUR spot,Deeper,,https://api.binance.com/api/v3/depth?symbol=BTCEUR&limit=5000
BTC/EUR,BITGET,True,2026-09-18T10:00:32+00:00,"[""PRAGMA""]",2026-09-18T10:05:27.439896+00:00,1489686.8151885006,True,0.0014689133492805388,BTC/EUR spot,Deeper,,https://api.bitget.com/api/v2/spot/market/orderbook?symbol=BTCEUR&type=step0&limit=200
BTC/EUR,BITSTAMP,True,2026-09-18T10:00:51+00:00,"[""PRAGMA""]",2026-09-18T10:05:27.439896+00:00,1504755.026689997,True,0.0014695758501828008,BTC/EUR spot,Deeper,,https://www.bitstamp.net/api/v2/order_book/btceur/
BTC/EUR,BYBIT,True,2026-09-18T10:00:53+00:00,"[""PRAGMA""]",2026-09-18T10:05:27.439896+00:00,22553.13876889519,True,5.085288817948316,BTC/EUR spot,Thin,,https://api.bybit.com/v5/market/orderbook?category=spot&symbol=BTCEUR&limit=200
BTC/EUR,KUCOIN,True,2026-09-18T10:00:53+00:00,"[""PRAGMA""]",2026-09-18T10:05:27.439896+00:00,36589.64874042199,True,18.083389639077904,BTC/EUR spot,Thin,,https://api.kucoin.com/api/v1/market/orderbook/level2_100?symbol=BTC-EUR
BTC/USD,BINANCE,True,2026-09-18T09:53:44+00:00,"[""ARGENT"", ""PRAGMA"", ""STARKNET_FOUNDATION""]",2026-09-18T09:54:22.380765+00:00,18040617.456408415,False,0.0012787453167472256,BTC/USDT spot,Deeper,Returned book ends inside the 1% band; displayed depth is a lower bound.,https://api.binance.com/api/v3/depth?symbol=BTCUSDT&limit=5000
BTC/USD,BITGET,True,2026-09-18T09:53:44+00:00,"[""ARGENT"", ""PRAGMA"", ""STARKNET_FOUNDATION"", ""STARKWARE""]",2026-09-18T09:54:22.380765+00:00,8599498.321629645,False,0.00127878538014718,BTC/USDT spot,Deeper,Returned book ends inside the 1% band; displayed depth is a lower bound.,https://api.bitget.com/api/v2/spot/market/orderbook?symbol=BTCUSDT&type=step0&limit=200
BTC/USD,BITSTAMP,True,2026-09-18T09:53:42+00:00,"[""ARGENT"", ""PRAGMA"", ""STARKNET_FOUNDATION"", ""STARKWARE""]",2026-09-18T09:54:22.380765+00:00,4339410.69672405,True,0.001280084628284393,BTC/USD spot,Deeper,,https://www.bitstamp.net/api/v2/order_book/btcusd/
BTC/USD,BYBIT,True,2026-09-18T09:53:44+00:00,"[""ARGENT"", ""PRAGMA"", ""STARKNET_FOUNDATION""]",2026-09-18T09:54:22.380765+00:00,3195015.4028038937,False,0.012788565997795103,BTC/USDT spot,Deeper,Returned book ends inside the 1% band; displayed depth is a lower bound.,https://api.bybit.com/v5/market/orderbook?category=spot&symbol=BTCUSDT&limit=200
BTC/USD,DEFILLAMA,True,2026-09-18T09:53:43+00:00,"[""ARGENT"", ""PRAGMA"", ""STARKNET_FOUNDATION"", ""STARKWARE""]",2026-09-18T09:54:22.380765+00:00,,,,CoinGecko-keyed price via DeFiLlama,Unverified depth,"Aggregator price, not an executable venue. Underlying constituent weights and independent depth not exposed. Upstream observation was 2 minutes old when independently fetched at 09:59:44 UTC.",https://coins.llama.fi/prices/current/coingecko:bitcoin
BTC/USD,GATEIO,True,2026-09-18T09:53:45+00:00,"[""ARGENT"", ""PRAGMA"", ""STARKNET_FOUNDATION"", ""STARKWARE""]",2026-09-18T09:54:22.380765+00:00,7026334.9068911895,False,0.012789089370958262,BTC/USDT spot,Deeper,Returned book ends inside the 1% band; displayed depth is a lower bound.,https://api.gateio.ws/api/v4/spot/order_book?currency_pair=BTC_USDT&limit=1000
BTC/USD,HUOBI,True,2026-09-18T09:53:44+00:00,"[""ARGENT"", ""PRAGMA"", ""STARKNET_FOUNDATION"", ""STARKWARE""]",2026-09-18T09:54:22.380765+00:00,9479229.54093888,False,0.0012790397186359765,BTC/USDT spot,Deeper,Returned book ends inside the 1% band; displayed depth is a lower bound.,https://api.huobi.pro/market/depth?symbol=btcusdt&type=step0
BTC/USD,KUCOIN,True,2026-09-18T09:53:44+00:00,"[""ARGENT"", ""PRAGMA"", ""STARKNET_FOUNDATION"", ""STARKWARE""]",2026-09-18T09:54:22.380765+00:00,160871.85449768597,False,0.01278882768088304,BTC/USDT spot,Deeper,Returned book ends inside the 1% band; displayed depth is a lower bound.,https://api.kucoin.com/api/v1/market/orderbook/level2_100?symbol=BTC-USDT
BTC/USD,LBANK,True,2026-09-18T09:53:45+00:00,"[""ARGENT"", ""PRAGMA"", ""STARKNET_FOUNDATION"", ""STARKWARE""]",2026-09-18T09:54:22.380765+00:00,17392081.809509505,True,0.002557118026221269,BTC/USDT spot,Deeper,,https://api.lbkex.com/v2/depth.do?symbol=btc_usdt&size=200
BTC/USD,OKX,True,2026-09-18T09:53:46+00:00,"[""ARGENT"", ""PRAGMA"", ""STARKNET_FOUNDATION"", ""STARKWARE""]",2026-09-18T09:54:22.380765+00:00,11668146.661572745,False,0.012793768923528542,BTC/USDT perpetual,Deeper,Perpetual contracts; excluded from spot liquidity totals. Returned book ends inside the 1% band; displayed depth is a lower bound.,https://www.okx.com/api/v5/market/books?instId=BTC-USDT-SWAP&sz=400
BTC/USD,PYTH,False,2026-08-26T16:10:16+00:00,"[""ARGENT"", ""PRAGMA"", ""STARKWARE""]",2026-09-18T09:54:22.380765+00:00,,,,Historical oracle input,Derived / no book,No recently reported observation; excluded from current coverage. No current executable depth is inferred.,https://github.com/astraly-labs/pragma-sdk/blob/1fe7bad29874cbe321f65b9b2e815f52333cd34c/pragma-sdk/pragma_sdk/common/fetchers/fetchers/pyth.py
DAI/USD,BITGET,False,2026-04-07T02:59:56+00:00,"[""PRAGMA""]",2026-09-18T09:54:22.380765+00:00,,,,DAI/USDT spot,Unverified,No usable direct book returned. See the saved response; this is not evidence of zero market-wide liquidity.,https://api.bitget.com/api/v2/spot/market/orderbook?symbol=DAIUSDT&type=step0&limit=200
DAI/USD,BITSTAMP,False,2026-08-10T15:12:32+00:00,"[""PRAGMA""]",2026-09-18T09:54:22.380765+00:00,,,,DAI/USD spot,Unverified,No usable direct book returned. See the saved response; this is not evidence of zero market-wide liquidity.,https://www.bitstamp.net/api/v2/order_book/daiusd/
DAI/USD,BYBIT,False,2026-04-21T09:37:32+00:00,"[""PRAGMA""]",2026-09-18T09:54:22.380765+00:00,,,,DAI/USDT spot,Unverified,No usable direct book returned. See the saved response; this is not evidence of zero market-wide liquidity.,https://api.bybit.com/v5/market/orderbook?category=spot&symbol=DAIUSDT&limit=200
DAI/USD,DEFILLAMA,True,2026-09-18T09:53:43+00:00,"[""PRAGMA""]",2026-09-18T09:54:22.380765+00:00,,,,CoinGecko-keyed price via DeFiLlama,Unverified depth,"Aggregator price, not an executable venue. Underlying constituent weights and independent depth not exposed. Upstream observation was 2 minutes old when independently fetched at 09:59:44 UTC.",https://coins.llama.fi/prices/current/coingecko:dai
DAI/USD,GATEIO,False,2026-04-15T07:35:11+00:00,"[""PRAGMA""]",2026-09-18T09:54:22.380765+00:00,,,,DAI/USDT spot,Unverified,No usable direct book returned. See the saved response; this is not evidence of zero market-wide liquidity.,https://api.gateio.ws/api/v4/spot/order_book?currency_pair=DAI_USDT&limit=1000
DAI/USD,HUOBI,False,2026-04-07T05:59:56+00:00,"[""PRAGMA""]",2026-09-18T09:54:22.380765+00:00,,,,DAI/USDT spot,Unverified,No usable direct book returned. See the saved response; this is not evidence of zero market-wide liquidity.,https://api.huobi.pro/market/depth?symbol=daiusdt&type=step0&depth=150
DAI/USD,LBANK,False,2026-04-01T00:32:27+00:00,"[""PRAGMA""]",2026-09-18T09:54:22.380765+00:00,,,,DAI/USDT spot,Unverified,No usable direct book returned. See the saved response; this is not evidence of zero market-wide liquidity.,https://api.lbkex.com/v2/depth.do?symbol=dai_usdt&size=200
DOG/USD,BITGET,True,2026-09-18T09:53:24+00:00,"[""PRAGMA""]",2026-09-18T09:54:22.380765+00:00,463.2512413864412,True,92.73570324574978,DOG/USDT spot,Very thin,,https://api.bitget.com/api/v2/spot/market/orderbook?symbol=DOGUSDT&type=step0&limit=200
DOG/USD,DEFILLAMA,True,2026-09-18T09:53:43+00:00,"[""PRAGMA""]",2026-09-18T09:54:22.380765+00:00,,,,CoinGecko-keyed price via DeFiLlama,Unverified depth,"Aggregator price, not an executable venue. Underlying constituent weights and independent depth not exposed. Upstream observation was 8 minutes old when independently fetched at 09:59:44 UTC.",https://coins.llama.fi/prices/current/coingecko:dog-go-to-the-moon-rune
DOG/USD,GATEIO,True,2026-09-18T09:53:45+00:00,"[""PRAGMA""]",2026-09-18T09:54:22.380765+00:00,1253.605688190425,True,22.357229647630632,DOG/USDT spot,Very thin,,https://api.gateio.ws/api/v4/spot/order_book?currency_pair=DOG_USDT&limit=1000
EKUBO/USD,AVNU,True,2026-09-18T09:44:31+00:00,"[""AVNU""]",2026-09-18T09:54:22.380765+00:00,,,,Starknet aggregated market price,Unverified depth,Routed execution quotes are shown separately. They do not reveal the publisher price methodology or establish independence from other DEX aggregators.,https://docs.avnu.fi/api/swap/get-quotes
EKUBO/USD,DEFILLAMA,True,2026-09-18T09:51:03+00:00,"[""ARGENT"", ""PRAGMA"", ""STARKNET_FOUNDATION"", ""STARKWARE""]",2026-09-18T09:54:22.380765+00:00,,,,CoinGecko-keyed price via DeFiLlama,Unverified depth,"Aggregator price, not an executable venue. Underlying constituent weights and independent depth not exposed. Upstream observation was 8 minutes old when independently fetched at 09:59:44 UTC.",https://coins.llama.fi/prices/current/coingecko:ekubo-protocol
EKUBO/USD,EKUBO,True,2026-09-18T09:51:03+00:00,"[""ARGENT"", ""PRAGMA"", ""STARKNET_FOUNDATION"", ""STARKWARE""]",2026-09-18T09:54:22.380765+00:00,,,,"One-hour oracle-pool TWAP, routed through EKUBO",Unverified depth,"Base and quote oracle-pool legs share dependencies. The SDK guard is a reserve threshold, not a 1% executable-depth test. Routed AVNU liquidity is not necessarily this oracle pool.",https://github.com/astraly-labs/pragma-sdk/blob/1fe7bad29874cbe321f65b9b2e815f52333cd34c/pragma-sdk/pragma_sdk/common/fetchers/fetchers/ekubo.py
ETH/USD,BINANCE,True,2026-09-18T09:53:44+00:00,"[""ARGENT"", ""PRAGMA"", ""STARKNET_FOUNDATION""]",2026-09-18T09:54:22.380765+00:00,8416580.082363417,True,0.03986628846753401,ETH/USDT spot,Deeper,,https://api.binance.com/api/v3/depth?symbol=ETHUSDT&limit=5000
ETH/USD,BITGET,True,2026-09-18T09:53:44+00:00,"[""ARGENT"", ""PRAGMA"", ""STARKNET_FOUNDATION"", ""STARKWARE""]",2026-09-18T09:54:22.380765+00:00,4844785.461733644,False,0.039870898031229,ETH/USDT spot,Deeper,Returned book ends inside the 1% band; displayed depth is a lower bound.,https://api.bitget.com/api/v2/spot/market/orderbook?symbol=ETHUSDT&type=step0&limit=200
ETH/USD,BITSTAMP,True,2026-09-18T09:53:43+00:00,"[""ARGENT"", ""PRAGMA"", ""STARKNET_FOUNDATION"", ""STARKWARE""]",2026-09-18T09:54:22.380765+00:00,1857431.96233895,True,0.03990287639971621,ETH/USD spot,Deeper,,https://www.bitstamp.net/api/v2/order_book/ethusd/
ETH/USD,BYBIT,True,2026-09-18T09:53:44+00:00,"[""ARGENT"", ""PRAGMA"", ""STARKNET_FOUNDATION""]",2026-09-18T09:54:22.380765+00:00,1871195.0175065442,False,0.039870103204632426,ETH/USDT spot,Deeper,Returned book ends inside the 1% band; displayed depth is a lower bound.,https://api.bybit.com/v5/market/orderbook?category=spot&symbol=ETHUSDT&limit=200
ETH/USD,DEFILLAMA,True,2026-09-18T09:53:43+00:00,"[""ARGENT"", ""PRAGMA"", ""STARKNET_FOUNDATION"", ""STARKWARE""]",2026-09-18T09:54:22.380765+00:00,,,,CoinGecko-keyed price via DeFiLlama,Unverified depth,"Aggregator price, not an executable venue. Underlying constituent weights and independent depth not exposed. Upstream observation was 2 minutes old when independently fetched at 09:59:44 UTC.",https://coins.llama.fi/prices/current/coingecko:ethereum
ETH/USD,EKUBO,True,2026-09-18T09:53:45+00:00,"[""ARGENT"", ""PRAGMA"", ""STARKNET_FOUNDATION"", ""STARKWARE""]",2026-09-18T09:54:22.380765+00:00,,,,"One-hour oracle-pool TWAP, routed through EKUBO",Unverified depth,"Base and quote oracle-pool legs share dependencies. The SDK guard is a reserve threshold, not a 1% executable-depth test. Routed AVNU liquidity is not necessarily this oracle pool.",https://github.com/astraly-labs/pragma-sdk/blob/1fe7bad29874cbe321f65b9b2e815f52333cd34c/pragma-sdk/pragma_sdk/common/fetchers/fetchers/ekubo.py
ETH/USD,GATEIO,True,2026-09-18T09:53:45+00:00,"[""ARGENT"", ""PRAGMA"", ""STARKNET_FOUNDATION"", ""STARKWARE""]",2026-09-18T09:54:22.380765+00:00,2597454.0408249134,True,0.03986708314566546,ETH/USDT spot,Deeper,,https://api.gateio.ws/api/v4/spot/order_book?currency_pair=ETH_USDT&limit=1000
ETH/USD,HUOBI,True,2026-09-18T09:53:44+00:00,"[""ARGENT"", ""PRAGMA"", ""STARKNET_FOUNDATION"", ""STARKWARE""]",2026-09-18T09:54:22.380765+00:00,7103599.614964295,False,0.03985389561953191,ETH/USDT spot,Deeper,Returned book ends inside the 1% band; displayed depth is a lower bound.,https://api.huobi.pro/market/depth?symbol=ethusdt&type=step0
ETH/USD,KUCOIN,True,2026-09-18T09:53:44+00:00,"[""ARGENT"", ""PRAGMA"", ""STARKNET_FOUNDATION"", ""STARKWARE""]",2026-09-18T09:54:22.380765+00:00,475156.3364215227,False,0.039870739064824946,ETH/USDT spot,Deeper,Returned book ends inside the 1% band; displayed depth is a lower bound.,https://api.kucoin.com/api/v1/market/orderbook/level2_100?symbol=ETH-USDT
ETH/USD,LBANK,True,2026-09-18T09:53:45+00:00,"[""ARGENT"", ""PRAGMA"", ""STARKNET_FOUNDATION"", ""STARKWARE""]",2026-09-18T09:54:22.380765+00:00,8653225.263108127,True,0.03986708314566546,ETH/USDT spot,Deeper,,https://api.lbkex.com/v2/depth.do?symbol=eth_usdt&size=200
ETH/USD,OKX,True,2026-09-18T09:53:46+00:00,"[""ARGENT"", ""PRAGMA"", ""STARKNET_FOUNDATION"", ""STARKWARE""]",2026-09-18T09:54:22.380765+00:00,20302395.746437196,False,0.03988552853216681,ETH/USDT perpetual,Deeper,Perpetual contracts; excluded from spot liquidity totals. Returned book ends inside the 1% band; displayed depth is a lower bound.,https://www.okx.com/api/v5/market/books?instId=ETH-USDT-SWAP&sz=400
ETH/USD,PYTH,False,2026-08-26T16:10:16+00:00,"[""ARGENT"", ""PRAGMA"", ""STARKWARE""]",2026-09-18T09:54:22.380765+00:00,,,,Historical oracle input,Derived / no book,No recently reported observation; excluded from current coverage. No current executable depth is inferred.,https://github.com/astraly-labs/pragma-sdk/blob/1fe7bad29874cbe321f65b9b2e815f52333cd34c/pragma-sdk/pragma_sdk/common/fetchers/fetchers/pyth.py
LBTC/USD,BYBIT,False,2026-07-16T07:58:27+00:00,"[""ARGENT"", ""PRAGMA""]",2026-09-18T09:54:22.380765+00:00,,,,LBTC/USDT spot,Unverified,No usable direct book returned. See the saved response; this is not evidence of zero market-wide liquidity.,https://api.bybit.com/v5/market/orderbook?category=spot&symbol=LBTCUSDT&limit=200
